"year","month","weeks_charted","high","artist","title","genre","bpm","length"
1998,1,4,58,"Space Monkeys","Sugar Cane","Electronic",107,196
1997,12,19,59,"Kai","Say You'll Stay","R&B",120,210
1998,1,15,59,"Anita Cochran","What If I Said","Country",124,288
1997,12,13,59,"Sting & The Police","Roxanne '97 - Puff Daddy Remix","Rock",97,273
1998,9,12,59,"Solo","Touch Me","Rock",93,242
1998,4,15,59,"Metallica","The Unforgiven II","Rock",132,392
1998,12,1,59,"N'Sync","Tearin Up My Heart","Rock",110,208
1998,6,16,60,"Ricky Martin","The Cup Of Life","Latin",126,273
1998,7,13,60,"Vince Gill","If You Ever Have Forever In Mind","Country",91,273
1998,8,10,60,"Mos Def & Kweli","Definition","Rap",91,202
1998,11,4,60,"Bravo All Stars","Let The Music Heal Your Soul","R&B",80,231
1998,8,12,61,"Memphis Bleek","It's Alright","Rap",95,240
1998,4,19,61,"George Strait","I Just Want To Dance With You","Country",114,204
1998,10,9,61,"Depeche Mode","Only When I Lose Myself","Rock",NA,293
1998,4,5,61,"Michael W. Smith","Love Me Good","Gospel",NA,229
1998,8,1,61,"Wyclef Jean","What's Clef","Rap",97,255
1998,3,14,62,"Do Or Die","Still Po' Pimpin'","R&B",136,243
1998,7,13,62,"MissJones","2 Way Street","Pop",99,234
1998,10,8,62,"Stardust","Music Sounds Better With You","Electronic",123,260
1998,12,17,63,"U2","Sweetest Thing","Rock",70,180
1998,6,11,63,"Nutta Butta","Freak Out","R&B",99,294
1998,4,18,63,"Tracy Byrd","I'm From The Country","Country",129,204
1998,7,14,63,"Tami Davis","How Do You Say I'm Sorry","Rock",111,248
1998,3,13,63,"Keith Washington","Bring It On","R&B",117,215
1998,11,3,63,"A+","Enjoy Yourself","R&B",101,219
1998,4,10,64,"Randy Travis","Out Of My Bones","Country",72,165
1998,10,7,64,"WC","Better Days","Rap",99,254
1998,2,18,65,"Clay Walker","Then What","Country",88,180
1998,12,16,65,"R. Kelly","Home Alone","Rock",130,258
1998,8,12,66,"Pure Sugar","Delicious","Rock",70,283
1998,3,15,67,"She Moves","It's Your Love","Rock",NA,225
1998,5,12,67,"Olivia Newton-John & Babyface","I Honestly Love You","Rock",112,240
1998,12,3,67,"Wade Hayes","How Do You Sleep At Night","Country",123,205
1997,11,20,68,"Barenaked Ladies","Brian Wilson","Rock",90,232
1998,12,7,69,"Everything","Hooch","Rap",93,221
1998,8,2,69,"Wyclef Jean","Chickenhead","Rap",92,266
1998,2,15,70,"Mono","Life In Mono","R&B",84,225
1998,9,10,70,"Cypress Hill","Tequila Sunrise","Rap",NA,236
1998,9,10,70,"DMX","How's It Goin' Down","Rap",91,243
1998,11,4,70,"LFO","If I Can't Have You","Rock",94,223
1998,9,7,71,"Tribe Called Quest, A","Find A Way","Rap",94,199
1998,5,7,71,"Lisa Loeb","Let's Forget About It","Rock",100,159
1998,5,6,71,"Baby Talk","Hooked On A Feeling (Ooga-Chaka)","Pop",96,174
1998,8,14,72,"Funkmaster Flex","Here We Go","R&B",96,244
1998,5,13,72,"Terri Clark","Now That I Found You","Country",90,213
1998,9,13,72,"J'Son","I Should Cheat On You","R&B",87,241
1997,9,20,72,"Rockell","In A Dream","Pop",132,240
1998,5,13,72,"Mark Wills","I Do (Cherish You)","Country",NA,197
1998,9,1,72,"Cypress Hill","Dr. Greenthumb","Rap",103,188
1998,2,13,73,"Jody Watley","Off The Hook","Rock",79,225
1998,12,5,73,"Mark Wills","Don't Laugh At Me","Country",88,216
1998,8,5,74,"Wyclef Jean","Cheated (To All The Girls)","Rap",36,240
1998,5,10,74,"Tim McGraw","One Of These Days","Country",141,279
1998,3,11,75,"Elusion","Reality","R&B",87,267
1998,1,10,75,"Lysette","Young, Sad And Blue","R&B",75,241
1998,7,4,75,"All City","The Actual","Rap",90,248
1998,4,7,76,"Mark Morrison","Moan & Groan","Rock",123,223
1998,10,5,76,"Ace Of Base","Whenever You're Near Me","Rock",97,207
1998,12,17,76,"Shaggy","Luv Me, Luv Me","Reggae",90,236
1998,7,11,76,"Aretha Franklin","Here We Go Again","Rock",99,207
1998,5,7,76,"Sister 7","Know What You Mean","Rock",131,255
1998,11,2,76,"Gloria Estefan","Don't Let This Moment End","Rock",NA,245
1998,1,7,77,"Dixie Chicks, The","I Can Love You Better","Country",NA,179
1998,8,15,78,"Fatboy Slim","The Rockafeller Skank","R&B",77,239
1998,10,7,79,"Bounty Killer","Deadly Zone","Rap",96,296
1998,5,7,79,"Kenny Chesney","That's Why I'm Here","Country",136,238
1998,8,6,79,"DMX","Stop Being Greedy","Rap",101,214
1998,7,6,79,"EOL","Love The Way","Rap",91,233
1998,12,5,79,"Kirk Franklin","Lean On Me","Rock",108,308
1998,12,4,79,"Tim McGraw","Where The Green Grass Grows","Country",79,202
1998,6,6,80,"Rebekah","Sin So Well","Country",119,215
1998,10,7,80,"Heltah Skeltah","I Ain't Havin' That","Rap",100,307
1999,1,2,80,"Adam Sandler","The Chanukah Song","Rock",95,224
1998,11,1,80,"Reel Tight","(Do You) Wanna Ride","R&B",137,213
1998,6,10,81,"Ty Herndon","A Man Holdin' On","Country",128,214
1998,10,5,81,"Cleopatra","Life Ain't Easy","Rock",98,197
1998,10,5,82,"Andrea Martin","Let Me Return The Favor","R&B",87,250
1998,8,5,82,"4 The Cause","Stand By Me","R&B",95,220
1998,12,5,82,"Alabama","How Do You Fall In Love","Country",85,176
1998,6,7,83,"Nu Flavor","Baby Be There","Rock",NA,226
1998,12,2,83,"Deana Carter","Absence Of The Heart","Country",84,209
1998,11,2,83,"Nicole Renee","Strawberry","Pop",89,227
1998,6,7,85,"Latanya","Whatuon","R&B",139,236
1998,8,9,85,"Jesse Powell","I Wasn't With It","Rock",NA,232
1997,12,6,85,"Deana Carter","Did I Shave My Legs For This?","Country",89,190
1998,12,9,85,"Hole","Celebrity Skin","Rock",134,162
1997,12,5,85,"Sammy Kershaw","Love Of My Life","Country",140,260
1998,9,5,86,"Tragedy, Capone & Infinite","'98 Thug Paradise","Rap",NA,238
1998,6,4,86,"Christion","I Wanna Get Next To You","R&B",132,225
1998,10,11,86,"Travis Tritt","If I Lost You","Country",139,226
1998,12,8,86,"Fastball","Fire Escape","Rock",125,201
1998,2,5,86,"Wade Hayes","The Day That She Left Tulsa (In A Chevy)","Country",136,210
1998,5,4,86,"Blair","Have Fun, Go Mad","R&B",96,214
1998,8,3,86,"Rell","Love For Free","Rap",81,313
1997,12,7,87,"Sublime","Doin' Time","Rock",81,250
1998,2,5,87,"Phajja","So Long (Well, Well, Well)","Rock",NA,240
1998,8,2,87,"Dionne Warwick","What The World Needs Now Is Love","Rock",83,257
1998,1,3,88,"Enya","Only If..","Other",NA,194
1998,2,6,90,"Daryle Singletary","The Note","Country",84,200
1998,8,2,90,"Reiss","Boom Bye Yae","R&B",88,245
1998,5,5,91,"M:G","Sweet Honesty","Pop",129,232
1998,8,9,91,"John Michael Montgomery","Cover You In Kisses","Country",106,231
1998,8,6,92,"Inner Circle","Not About Romance","Reggae",97,215
1998,12,4,92,"Timbaland","Here We Come","Rap",94,276
1998,11,2,92,"Emilia","Big Big World","R&B",88,202
1998,10,5,93,"Mag 7","The Street Mix","Rap",101,236
1998,7,2,93,"Trisha Yearwood","There Goes My Baby","Country",108,226
1998,11,1,93,"Tami Davis","Only You","Rock",76,231
1998,3,4,94,"Rolling Stones, The","Saint Of Me","Rock",201,245
1998,12,3,94,"Brian Setzer Orchestra","Jump, Jive An' Wail","R&B",101,170
1998,11,1,94,"Lil Suzy","I Still Love You","Rock",136,238
1998,4,4,95,"Brooklyn Bounce","Get Ready To Bounce","Rock",135,214
1998,1,3,95,"Club 69","Much Better","Electronic",126,206
1998,5,2,95,"Innerlude","I Don't Wanna Go On","R&B",117,254
1998,5,4,97,"Rufus Blaq","Out Of Sight (Yo)","Rap",97,218
1997,10,42,1,"Elton John","Candle In The Wind 1997","Rock",126,248
1997,10,42,1,"Elton John","Something About The Way You Look Tonight","Rock",71,237
1997,6,33,1,"Puff Daddy & Faith Evans","I'll Be Missing You","Rap",109,302
1997,1,28,1,"Puff Daddy","Can't Nobody Hold Me Down","Rap",93,310
1997,1,23,1,"Spice Girls, The","Wannabe","Rock",110,170
1997,5,22,1,"Hanson","MMMbop","R&B",104,238
1997,9,20,1,"Mariah Carey","Honey","Rock",95,300
1997,4,20,1,"Notorious B.I.G., The","Hypnotize","Rap",93,235
1997,8,30,1,"Notorious B.I.G., The","Mo Money, Mo Problems","Rap",104,249
1997,9,20,1,"Boyz II Men","4 Seasons Of Loneliness","R&B",125,291
1997,8,47,2,"Usher","You Make Me Wanna..","Rock",82,218
1997,6,69,2,"LeAnn Rimes","How Do I Live","Country",128,258
1996,11,35,2,"En Vogue","Don't Let Go (Love)","Rock",78,244
1997,4,30,2,"Meredith Brooks","Bitch","Rock",96,253
1996,11,65,2,"Jewel","You Were Meant For Me","Rock",115,225
1997,6,43,2,"Backstreet Boys, The","Quit Playing Games (With My Heart)","Rock",100,232
1997,3,40,2,"Mark Morrison","Return Of The Mack","Rock",95,212
1997,5,21,3,"Spice Girls, The","Say You'll Be There","Rock",106,230
1997,7,43,4,"Third Eye Blind","Semi-Charmed Life","Rock",102,217
1997,3,32,4,"Monica","For You I Will","Rock",123,249
1997,11,20,4,"LSG","My Body","R&B",119,248
1997,3,20,4,"Celine Dion","All By Myself","Rock",120,231
1997,8,26,4,"Somethin' For The People","My Love Is The Shhh!","Rock",125,307
1997,1,25,4,"Dru Hill","In My Bed","Rock",118,230
1997,8,24,4,"Spice Girls, The","2 Become 1","Rock",72,236
1996,12,20,4,"Whitney Houston","I Believe In You And Me","Rock",123,233
1997,3,33,4,"Savage Garden","I Want You","Rock",106,230
1997,8,25,4,"Allure","All Cried Out","Rock",139,272
1997,6,20,4,"Bone Thugs N Harmony","Look Into My Eyes","Rap",144,263
1997,11,20,5,"Mase","Feel So Good","Rap",100,240
1997,2,42,5,"Verve Pipe, The","The Freshman","Rock",100,269
1997,9,31,6,"Chumbawamba","Tubthumping","Rock",103,212
1997,2,26,6,"Babyface","Every Time I Close My Eyes","Rap",71,251
1997,3,26,6,"Rome","I Belong To You (Every Time I See Your Face)","R&B",117,234
1997,7,21,6,"Lil' Kim","Not Tonight","Rap",99,253
1997,11,24,7,"Robyn","Show Me Love","Pop",91,227
1997,9,24,7,"Jewel","Foolish Games","Rock",121,338
1997,5,28,7,"Robyn","Do You Know (What It Takes)","Rock",100,220
1996,11,20,7,"New Edition","I'm Still In Love With You","Rock",133,222
1997,7,32,7,"Shawn Colvin","Sunny Came Home","Rock",83,262
1997,5,20,7,"Tim McGraw","It's Your Love","Country",72,223
1997,8,20,7,"Dru Hill","Never Make A Promise","Rock",113,241
1997,2,20,7,"Foxy Brown","I'll Be","Rap",105,180
1997,9,16,7,"Aqua","Barbie Girl","Rock",129,192
1997,4,21,8,"Paula Cole","Where Have All The Cowboys Gone?","Rock",128,226
1997,2,34,8,"AZ Yet","Hard To Say I'm Sorry","Rock",127,193
1997,5,25,8,"Changing Faces","G.H.E.T.T.O.U.T","Rock",108,248
1997,2,16,8,"Madonna","Don't Cry For Me Argentina","Rock",85,267
1997,10,20,9,"Aaliyah","The One I Gave My Heart To","Rock",124,233
1997,11,20,9,"Hanson","I Will Come To You","Country",139,245
1997,7,20,9,"R. Kelly","Gotham City","Rock",82,290
1996,9,27,10,"Sheryl Crow","If It Makes You Happy","Rock",95,272
1997,2,20,10,"702","Get It Together","R&B",114,292
1997,4,19,10,"B-Rock & The Bizz","My Baby Daddy","Rap",135,214
1996,12,20,10,"Seal","Fly Like An Eagle","Rock",97,218
1997,2,11,10,"U2","Discotheque","Rock",120,297
1997,7,41,11,"Sister Hazel","All For You","Rock",136,218
1997,3,20,11,"Sheryl Crow","Everyday Is A Winding Road","Rock",113,254
1996,11,30,12,"Gina G","Ooh Aah.. Just A Little Bit","Rock",90,201
1997,7,28,12,"98°","Invisible Man","Rock",89,280
1997,7,20,12,"Coolio","C U When U Get There","Rap",91,306
1997,6,19,12,"Scarface","Smile","Rap",77,300
1997,9,22,13,"Sarah McLachlan","Building A Mystery","Rock",81,243
1997,3,28,13,"112","Cupid","R&B",87,246
1997,1,33,15,"Freak Nasty","Da' Dip","Rap",131,230
1997,3,17,15,"Whitney Houston","Step By Step","Rock",115,249
1997,8,24,16,"Total","What About Us","Rap",88,262
1997,9,23,16,"Next","Butta Love","Rock",108,293
1997,3,15,16,"Da Brat","Ghetto Love","Rap",93,202
1996,11,55,16,"Duncan Sheik","Barely Breathing","Rock",94,252
1997,7,15,16,"En Vogue","Whatever","Rock",90,248
1997,9,20,17,"Brian McKnight","You Should Be Mine (Don't Waste Your Time)","Rock",94,284
1997,3,19,18,"Heavy D","Big Daddy","Rap",89,228
1997,11,20,18,"Spice Girls, The","Spice Up Your Life","Rock",124,170
1997,3,20,19,"Toni Braxton","I Don't Want To","Rock",120,257
1997,7,20,19,"SWV","Someone","Rock",86,245
1997,3,16,19,"Bruce Springsteen","Secret Garden","Rock",86,265
1997,3,19,20,"Warren G","I Shot The Sheriff","Rap",91,227
1997,2,20,21,"Montell Jordan","What's On Tonight","Rap",112,275
1997,5,20,21,"Joe","Don't Wanna Be A Player","Rock",81,300
1997,10,20,21,"Fiona Apple","Criminal","Rock",89,339
1997,8,20,21,"Mr. President","Coco Jamboo","Electronic",99,216
1997,2,18,21,"No Mercy","Please Don't Go","Electronic",124,240
1996,11,20,22,"Cranberries, The","When You're Gone","Rock",93,289
1997,5,20,22,"Tony! Toni! Toné!","Thinking Of You","Rock",85,232
1997,6,17,22,"Raybon Bros.","Butterfly Kisses","Country",86,281
1997,3,20,23,"White Town","Your Woman","Electronic",102,258
1997,6,12,23,"Trisha Yearwood","How Do I Live","Country",129,265
1997,9,20,24,"Mary J. Blige","Everything","Rock",110,297
1996,6,40,24,"Amber","This Is Your Night","Rock",127,240
1997,6,20,24,"Michael Bolton","Go The Distance","Rock",132,281
1996,12,22,25,"Blackout Allstars, The","I Like It","Rock",128,259
1997,10,20,25,"Shania Twain","Love Gets Me Every Time","Country",122,212
1997,7,18,25,"10,000 Maniacs","More Than This","Rock",124,240
1997,6,20,26,"K-Ci & JoJo","You Bring Me Up","Rock",90,259
1997,4,18,26,"U2","Staring At The Sun","Rock",70,276
1997,3,20,27,"Real McCoy","One More Time","Electronic",133,239
1997,10,20,27,"Bone Thugs N Harmony","If I Could Teach The World","Rap",80,261
1997,6,20,28,"Bee Gees","Alone","Rock",109,257
1997,7,19,28,"Mary J. Blige","I Can Love You","Rock",87,285
1997,11,19,28,"Metallica","The Memory Remains","Rock",144,275
1997,2,14,29,"E-40","Things'll Never Change","Rap",87,301
1997,1,20,30,"Prodigy","Firestarter","Rock",141,225
1997,11,20,32,"She Moves","Breaking All The Rules","Rock",109,204
1997,3,16,32,"Mint Condition","You Don't Have To Hurt No More","Rock",113,252
1997,2,14,32,"Immature","Watch Me Do My Thing","Rock",93,219
1996,11,20,33,"112","Come See Me","R&B",83,260
1997,10,17,33,"En Vogue","Too Gone, Too Long","Rock",74,245
1997,9,20,34,"LeAnn Rimes","You Light Up My Life","Country",78,214
1997,3,15,35,"Allure","Head Over Heels","Rock",96,252
1997,10,20,35,"H-Town","They Like It Slow","Rap",115,264
1997,3,15,35,"Aerosmith","Falling In Love (Is Hard On The Knees)","Rock",116,202
1997,8,12,35,"702","All I Want","Rock",94,239
1997,6,14,35,"Warren G","Smokin' Me Out","Rap",91,218
1996,11,17,35,"OutKast","ATLiens","Rap",97,225
1996,12,26,36,"Luscious Jackson","Naked Eye","Rock",131,244
1997,9,20,36,"Imani Coppota","Legend Of A Cowgirl","Rock",NA,222
1996,12,20,37,"Quad City DJ's","Space Jam","Rap",132,218
1997,7,20,37,"Savage Garden","To The Moon And Back","Rock",104,269
1997,5,20,38,"Depeche Mode","It's No Good","Rock",99,357
1997,7,20,38,"Diana King","I Say A Little Prayer","Reggae",125,203
1997,9,13,39,"Peach Union","On My Own","Rock",104,218
1997,5,16,39,"Brownstone","5 Miles To Empty","Rock",134,305
1997,3,12,39,"Zhane","Request Line","Rock",99,235
1997,5,20,39,"Blessid Union Of Souls","I Wanna Be There","Rock",70,267
1996,11,20,39,"Smashing Pumpkins, The","33","Rock",128,244
1997,3,20,40,"Westside Connection","Gangstas Make The World Go Round","Rap",90,272
1996,12,19,40,"Gloria Estefan","I'm Not Giving You Up","Rock",97,221
1997,2,15,40,"Crystal Waters","Say.. If You Feel Alright","Electronic",84,211
1997,3,18,41,"Jon Secada","Too Late, Too Soon","Rock",80,226
1997,6,20,41,"No Mercy","When I Die","Electronic",147,268
1996,12,15,41,"Donna Lewis","Without Love","Rock",91,215
1997,4,20,42,"Richard Marx","Until I Find You Again","Rock",153,260
1997,2,15,42,"Redman","Whateva Man","Rap",87,213
1997,5,11,42,"Michael Jackson","Blood On The Dance Floor","Rock",108,247
1996,12,19,43,"Johnny Gill","It's Your Body","Rock",125,329
1997,2,14,44,"Yvette Michele","I'm Not Feeling You","R&B",98,260
1997,6,12,45,"Wyclef Jean","We Trying To Stay Alive","Rap",98,194
1997,5,22,45,"Sneaker Pimps","6 Underground","Rock",84,231
1997,2,20,46,"John Mellencamp","Just Another Day","Rock",72,207
1997,8,20,46,"4.0","Have A Little Mercy","R&B",102,253
1997,10,20,46,"K-Ci & JoJo","Last Night's Letter","Rock",131,278
1997,6,11,46,"Gina G","Gimme Some Love","Rock",133,208
1996,12,11,46,"LL Cool J","Ain't Nobody","Rap",99,270
1997,2,5,47,"Depeche Mode","Barrel Of A Gun","Rock",82,319
1996,12,20,48,"Better Than Ezra","Desperately Wanting","Rock",99,275
1997,3,15,48,"Wild Orchid","Talk To Me","Rock",119,236
1996,11,20,49,"Donell Jones","Knocks Me Off My Feet","Rock",83,220
1997,8,9,50,"Billy Joel","To Make You Feel My Love","Rock",136,225
1997,11,16,50,"Martina McBride","Valentine","Country",95,192
1997,11,12,51,"Naughty By Nature","Mourn You Til I Join You","Rap",89,300
1997,8,16,51,"Sam Salter","After 12, Before 6","R&B",118,264
1997,8,11,51,"Aerosmith","Hole In My Soul","Rock",75,370
1997,4,14,52,"OutKast","Jazzy Belle","Rap",92,243
1997,10,9,52,"Duran Duran","Electric Barbarella","Rock",129,310
1996,11,20,54,"Rod Stewart","If We Fall In Love Tonight","Rock",87,237
1997,2,18,55,"Tracey Lee","The Theme (It's Party Time)","Rap",99,265
1997,5,8,55,"Erasure","In My Arms","Rock",99,205
1997,1,11,55,"Isley Brothers, The","Tears","Rock",75,246
1997,11,9,55,"LL Cool J","Phenomenon","Rap",105,185
1997,7,17,56,"Deborah Cox","Things Just Ain't The Same","Rock",71,218
1997,7,12,56,"Patti LaBelle","When You Talk About Love","Rock",98,330
1997,11,20,57,"Big Punisher","I'm Not A Player","Rap",94,307
1997,12,9,57,"Bee Gees","Still Waters (Run Deep)","Rock",98,242
1997,7,8,57,"U2","Last Night On Earth","Rock",NA,254
1997,8,10,58,"BLACKstreet","Fix","Rock",92,282
1997,3,8,58,"Tela","Sho Nuff","Rap",146,308
1996,11,10,58,"Alan Jackson","Little Bitty","Country",81,155
1997,4,12,59,"George Strait","One Night At A Time","Country",112,226
1996,11,18,60,"Metallica","Hero Of The Day","Rock",119,260
1997,12,1,60,"Notorious B.I.G., The","Sky's The Limit","Rap",93,250
1997,1,15,61,"SWV","It's All About U","Rock",93,220
1997,6,10,61,"New Edition","One More Day","Rock",87,232
1997,10,4,61,"Martina McBride","A Broken Wing","Country",100,214
1997,4,20,62,"Nu Flavor","Sweet Sexy Thing","Rock",127,216
1997,5,10,64,"Paul McCartney","The World Tonight","Rock",120,240
1997,4,10,65,"Collective Soul","Precious Declaration","Rock",107,219
1997,11,12,65,"Changing Faces","All Of My Days","Rock",85,238
1997,9,9,65,"Jagged Edge","The Way That You Talk","Rock",91,215
1997,3,20,65,"Tori Amos","Silent All These Years","Rock",129,250
1997,11,16,66,"David Bowie","I'm Afraid Of Americans","Rock",80,331
1997,3,19,66,"Kenny G","Havana","Jazz",122,230
1997,6,9,66,"Alkaholiks, Tha","Hip Hop Drunkies","Rap",97,292
1997,12,11,67,"2 Pac","I Wonder If Heaven Got A Ghetto","Rap",NA,275
1997,6,11,68,"Keith Sweat","Come With Me","Rock",118,230
1996,12,12,69,"John Michael Montgomery","Friends","Country",71,228
1997,9,8,69,"Immature","I'm Not A Fool","Rock",NA,258
1997,10,16,70,"Trace Adkins","The Rest Of Mine","Country",128,189
1997,7,7,70,"Adina Howard","(Freak) And U Know It","Rock",103,243
1997,8,6,70,"Wild Orchid","Supernatural","Rock",103,248
1997,2,15,71,"Tru","I Always Feel Like (Somebody's Watchin Me)","Rap",98,251
1997,11,15,71,"Diana King","L-L-Lies","Reggae",NA,247
1997,2,9,72,"Deana Carter","We Danced Anyway","Country",94,203
1997,6,11,72,"Collective Soul","Listen","Rock",99,253
1997,8,10,72,"Shaggy","Piece Of My Heart","Reggae",82,252
1997,11,15,73,"Playa","Don't Stop The Music","Rock",NA,201
1997,7,11,73,"O'Jays, The","What's Stopping You","Rock",88,252
1997,9,10,73,"Beck","Jack-Ass","Rock",127,203
1997,1,10,74,"Amber","Colour Of Love","Rock",126,207
1997,8,9,74,"Lisa Stansfield","Never, Never Gonna Give You Up","Rock",89,283
1996,12,5,75,"Shania Twain","God Bless The Child","Country",85,228
1997,8,15,75,"SWV","Can We","Rock",85,287
1997,8,19,75,"Ultra Naté","Free","Electronic",96,212
1997,12,12,75,"LL Cool J","4, 3, 2, 1","Rap",66,297
1997,12,9,76,"Clint Black","Something That We Do","Country",131,236
1997,9,4,76,"Queen Latifah","It's Alright","Rap",101,217
1997,11,7,76,"O'Jays, The","Baby You Know","Rock",NA,246
1997,2,14,77,"Phil Collins","It's In Your Eyes","Rock",121,178
1997,10,10,77,"Peter Cetera","You're The Inspiration","Rock",72,243
1996,11,12,77,"Susanna Hoffs","All I Want","Rock",112,197
1997,2,10,77,"Tre","Take Your Time","Rap",70,288
1997,4,7,77,"Trapp","Stop The Gunfight","Rap",82,232
1997,7,4,77,"Whitney Houston","My Heart Is Calling","Rock",92,250
1997,10,8,78,"Jamiroquai","Alright","Rock",105,259
1997,5,7,78,"Beck","The New Pollution","Rock",132,220
1996,11,9,78,"Trace Adkins","Every Light In The House","Country",129,178
1997,8,5,78,"Samantha Cole","Happy With You","Rock",92,226
1997,5,13,79,"Suga Free","If U Stay Ready","Rap",97,262
1997,8,10,79,"Lil Suzy","Can't Get You Out Of My Mind","Rock",NA,213
1997,5,9,79,"Jay-Z","Feelin' It","Rap",83,227
1996,12,10,80,"Luther Vandross","I Can Make It Better","Rock",111,266
1997,11,3,80,"No Mercy","Kiss You All Over","Electronic",NA,266
1997,2,14,81,"2 Pac","Runnin'","Rap",84,272
1997,1,9,82,"Monifah","You Don't Have To Love Me","Rock",92,266
1997,9,7,82,"Shaquille O'Neal","Men Of Steel","Rap",91,273
1997,7,4,82,"Damage","Love II Love","Rock",NA,241
1997,11,7,84,"Yvette Michele","DJ Keep Playin' (Get Your Music On)","R&B",109,274
1997,10,5,84,"Natalie Cole","A Smile Like Yours","Rock",115,258
1997,12,5,84,"Toby Keith","I'm So Happy I Can't Stop Crying","Country",147,236
1997,6,4,84,"Jay-Z","Who You Wit","Rap",NA,247
1997,10,13,87,"Sneaker Pimps","Spin Spin Sugar","Rock",128,210
1998,1,1,87,"Elmo and Patsy","Grandma Got Run Over By A Reindeer","Other",109,204
1996,12,8,88,"Tony Rich Project","Leavin'","Rock",95,220
1997,7,7,88,"Shades","Serenade","R&B",95,239
1997,5,6,88,"Barenaked Ladies","The Old Apartment","Rock",79,213
1997,12,3,88,"Depeche Mode","Home","Rock",75,340
1997,3,8,90,"Metallica","King Nothing","Rock",112,325
1997,5,3,90,"Too Short","Call Me","Rap",NA,295
1997,4,6,90,"Teddy Pendergrass","Don't Keep Wasting My Time","Rock",126,247
1997,8,3,90,"Beenie Man","Dancehall Queen","Reggae",101,222
1997,3,6,91,"Merril Bainbridge","Under The Water","Rock",93,218
1997,5,5,91,"Robin S","It Must Be Love","Electronic",110,240
1997,8,2,91,"Michael Jackson","Stranger In Moscow","Rock",108,243
1997,4,5,93,"Tasha Holiday","Just The Way You Like It","R&B",93,226
1997,10,2,95,"Jay-Z","Sunshine","Rap",64,213
1997,11,2,96,"Twista","Get It Wet","Rap",129,242
1997,2,2,96,"R.E.M.","Electrolite","Rock",122,241
1997,1,4,97,"Deborah Cox","The Sound Of My Tears","Rock",NA,268
1997,10,2,97,"Sons Of Funk","Pushin' Inside You","Rap",135,230
1997,10,2,98,"Wynonna","When Loves Starts Talkin'","Country",75,184
1995,9,60,1,"Los Del Rio","Macarena (Bayside Boys Mix)","Latin",103,234
1996,10,42,1,"Toni Braxton","Un-Break My Heart","Rock",110,264
1996,5,20,1,"Bone Thugs N Harmony","Tha Crossroads","Rap",72,228
1996,3,33,1,"Celine Dion","Because You Loved Me","Rock",120,263
1996,10,31,1,"BLACKstreet","No Diggity","Rock",88,303
1996,4,32,1,"Mariah Carey","Always Be My Baby","Rock",78,256
1996,6,24,1,"2 Pac","How Do U Want It","Rap",92,240
1996,6,41,1,"Toni Braxton","You're Makin' Me High","Rock",92,269
1996,6,41,2,"Donna Lewis","I Love You Always Forever","Rock",103,236
1996,8,30,2,"Celine Dion","It's All Coming Back To Me Now","Rock",91,328
1996,12,34,2,"R. Kelly","I Believe I Can Fly","Rock",120,282
1995,12,47,2,"Tony Rich Project","Nobody Knows","Rock",88,262
1995,12,33,2,"Brandy","Sittin' Up In My Room","Rock",93,235
1996,1,20,2,"Mary J. Blige","Not Gon' Cry","Rock",110,295
1996,6,38,2,"Keith Sweat","Twisted","Rock",87,251
1996,4,39,3,"Tracy Chapman","Give Me One Reason","Rock",101,268
1996,10,35,3,"Keith Sweat","Nobody","Rock",117,251
1996,3,42,3,"Quad City DJ's","C'Mon N' Ride It (The Train)","Rap",136,243
1996,7,29,3,"LL Cool J","Loungin'","Rap",99,226
1996,8,20,3,"New Edition","Hit Me Off","Rock",88,263
1996,3,32,4,"Alanis Morissette","Ironic","Rock",85,225
1996,9,30,4,"Merril Bainbridge","Mouth","Rock",87,205
1996,3,20,4,"R. Kelly","Down Low (Nobody Has To Know)","Rock",107,286
1995,12,22,4,"Joan Osborne","One Of Us","Rock",88,321
1996,7,39,5,"No Mercy","Where Do You Go","Electronic",127,258
1996,7,43,5,"Eric Clapton","Change The World","Rock",96,234
1996,3,21,5,"Coolio","1,2,3,4 (Sumptin' New)","Rap",114,202
1995,10,36,5,"Goo Goo Dolls","Name","Rock",74,270
1996,7,20,5,"R. Kelly","I Can't Sleep Baby (If I)","Rock",120,330
1996,4,20,5,"SWV","You're The One","Rock",94,280
1995,8,36,5,"Deep Blue Something","Breakfast At Tiffany's","Rock",110,251
1995,11,38,6,"La Bouche","Be My Lover","Electronic",134,232
1996,9,27,6,"Ginuwine","Pony","Rock",142,251
1996,6,24,6,"2 Pac","California Love","Rap",91,243
1996,7,30,6,"Alanis Morissette","You Learn","Rock",84,238
1996,10,20,6,"Babyface","This Is For The Lover In You","Rap",94,237
1995,12,11,6,"Beatles, The","Free As A Bird","Rock",144,264
1996,5,20,7,"Adam Clayton & Larry Mullen","Theme From Mission Impossible","Rock",94,208
1996,2,14,7,"George Michael","Jesus To A Child","Rock",86,410
1996,3,20,8,"Whitney Houston","Count On Me","Rock",113,266
1996,11,20,8,"Barbra Streisand","I Finally Found Someone","Other",138,218
1996,3,20,8,"Busta Rhymes","Woo-Hah! Got You All In Check","Rap",92,255
1996,5,19,8,"George Michael","Fastlove","Rock",104,325
1996,1,20,8,"Oasis","Wonderwall","Rock",87,255
1996,2,46,9,"Gin Blossoms","Follow You Down","Rock",77,225
